Thu Nov  6 04:50:15 2025    pos.prof

         622339 function calls (473013 primitive calls) in 0.296 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    65113    0.052    0.000    0.071    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/utils.py:39(split_by_char_type)
     5114    0.004    0.000    0.070    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:188(__cut_detail)
     5114    0.005    0.000    0.062    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:112(__cut)
     2556    0.057    0.000    0.057    0.000 {built-in method _jieba_fast_dat_functions_py3._posseg_viterbi_cpp}
    10000    0.006    0.000    0.022    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/__init__.py:208(calc)
    10000    0.016    0.000    0.016    0.000 {built-in method _jieba_fast_dat_functions_py3._calc}
   101370    0.010    0.000    0.010    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/utils.py:33(_get_char_type)
    36544    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
   101370    0.008    0.000    0.008    0.000 {built-in method builtins.ord}
    60006    0.006    0.000    0.006    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:45(__init__)
    27457    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    27673    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    20000    0.002    0.000    0.002    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/__init__.py:204(check_initialized)
52507/198    0.039    0.000    0.002    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:267(__cut_internal)
 12506/66    0.008    0.000    0.001    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:231(__cut_DAG)
25821/262    0.053    0.000    0.001    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/__init__.py:90(get_freq)
 9179/168    0.005    0.000    0.001    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/__init__.py:214(get_DAG)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:107(makesure_userdict_loaded)
  50007/0    0.010    0.000    0.000          /media/ssd100/nfs_data/cary_workspace/github/jieba_fast_dat/jieba_fast_dat/posseg/__init__.py:299(cut)
